id,year,week,neutral_site,home_team,home_conference,home_points,home_elo,away_team,away_conference,away_points,away_elo,spread,margin,predicted margin
401309857,2021,4,False,Washington,Pac-12,31,1719.0,California,Pac-12,24,1456.0,-7.5,-7,0.0025261622
401301009,2021,4,False,BYU,FBS Independents,35,1821.0,South Florida,American Athletic,27,1149.0,-23.5,-8,0.012826786
401309860,2021,4,False,USC,Pac-12,27,1688.0,Oregon State,Pac-12,45,1471.0,-11.0,18,-0.033016574
401309862,2021,4,False,Arizona State,Pac-12,35,1663.0,Colorado,Pac-12,13,1391.0,-14.0,-22,-0.005888585
401309859,2021,4,False,Oregon,Pac-12,41,1730.0,Arizona,Pac-12,19,1272.0,-29.5,-22,-0.035297103
401282646,2021,5,False,Miami,ACC,28,1522.0,Virginia,ACC,30,1500.0,-3.5,2,7.883459e-05
401301012,2021,5,False,Tulsa,American Athletic,10,1506.0,Houston,American Athletic,45,1553.0,-3.5,35,-0.08563069
401282759,2021,5,False,Maryland,Big Ten,14,1446.0,Iowa,Big Ten,51,1870.0,3.0,37,-0.17849827
401309912,2021,5,False,Utah State,Mountain West,20,1336.0,BYU,FBS Independents,34,1797.0,8.0,14,-0.106227554
401309561,2021,5,False,Buffalo,Mid-American,17,1548.0,Western Michigan,Mid-American,24,1494.0,7.0,7,-0.03395224
401282793,2021,5,False,Purdue,Big Ten,13,1566.0,Minnesota,Big Ten,20,1592.0,-2.5,7,-0.03341373
401282776,2021,5,False,Wisconsin,Big Ten,17,1696.0,Michigan,Big Ten,38,1818.0,-2.5,21,-0.12256622
401282219,2021,5,False,Illinois,Big Ten,24,1343.0,Charlotte,Conference USA,14,1338.0,-10.5,-10,-0.014664002
401282093,2021,5,False,Missouri,SEC,24,1502.0,Tennessee,SEC,62,1482.0,-2.5,38,-0.07746742
401282090,2021,5,False,Georgia,SEC,37,2033.0,Arkansas,SEC,0,1677.0,-16.5,-37,-0.09310681
401282650,2021,5,False,North Carolina,ACC,38,1684.0,Duke,ACC,7,1342.0,-19.5,-31,-0.019554831
401301015,2021,5,False,Temple,American Athletic,34,1177.0,Memphis,American Athletic,31,1542.0,11.0,-3,-0.07214934
401287915,2021,5,False,TCU,Big 12,27,1620.0,Texas,Big 12,32,1903.0,4.0,5,-0.15507486
401286302,2021,5,False,UMass,FBS Independents,7,941.0,Toledo,Mid-American,45,1422.0,27.0,38,-0.137198
401282649,2021,5,False,Georgia Tech,ACC,21,1503.0,Pittsburgh,ACC,52,1600.0,3.0,31,-0.08496153
401282651,2021,5,False,Wake Forest,ACC,37,1652.0,Louisville,ACC,34,1528.0,-7.0,-3,-0.0047228523
401309612,2021,5,False,Georgia State,Sun Belt,16,1300.0,Appalachian State,Sun Belt,45,1663.0,10.0,29,-0.102719635
